tiempo,u,x1_med,x2_med,x3_med,x4_med,x2_true,x4_true,x1_true,x3_true
0,-0.5,0.0425598938259225,-2.03262538302588,3.1483503484563,0.675798524217108,0,0,0,3.14159265358979
0.02,-0.5,0.00190738616540496,-1.58115380631572,3.16186631894065,0.497204892708858,-0.389305407282319,0.370962402750749,-0.00429009335023285,3.14569619701404
0.04,-0.5,-0.0206862584267062,0.206219418966764,3.16823854416466,-0.00820778383023857,-0.594367513823748,0.555913924558866,-0.0143562035768413,3.1552023503533
0.06,-0.5,0.0101561629240755,-0.12611665561652,3.16153800758744,0.65126886040584,-0.693594668669483,0.628408011056075,-0.0273649492432014,3.16718828549267
0.08,-0.5,-0.025730924651367,-1.36726558496056,3.19428929858089,1.09288020633685,-0.733020789499634,0.632300680353652,-0.0417010332621828,3.17988107830791
0.1,-0.5,-0.0445344604743468,-1.94745352534144,3.20525321584091,-0.574197165802692,-0.739646464473512,0.594007508079969,-0.0564705575714669,3.19220223268046
0.12,-0.5,-0.103629065665025,-0.335464975875616,3.17132141194879,0.673535012080972,-0.729865567626136,0.530235206010538,-0.0711800699628235,3.20347388142289
0.14,-0.5,-0.0579530595093715,0.504430886050528,3.23219461632415,1.55897455029991,-0.712598606458265,0.450860329357097,-0.0856155694621565,3.21330789622715
0.16,-0.5,-0.0834518302230035,-0.83772501550415,3.23368039396078,-0.643050011220947,-0.693683101799455,0.362938664321256,-0.0996748386879815,3.22145300242901
0.18,-0.5,-0.0914620601295375,-0.700471463069092,3.20647261587531,-0.0702354911796044,-0.675829707452184,0.270664120785715,-0.113369370181676,3.22779589287312
0.2,-0.5,-0.111470688745767,-1.52072151715933,3.2308709743136,1.4079905352452,-0.661059799039397,0.177566861240781,-0.126730957528702,3.23227622269581
0.22,-0.5,-0.152290920815911,-1.17102493463405,3.26279223728512,0.625968989907011,-0.650106468820285,0.0859634689344855,-0.139835512002158,3.23490705606343
0.24,-0.5,-0.158311686131129,-0.912280735993106,3.25590973390988,-0.848094859246629,-0.643385775081925,-0.00219022178114084,-0.152765150324049,3.23573932088457
0.26,-0.5,-0.188782150255635,-0.204439842137324,3.22886844291526,-0.411724299497807,-0.641151005940494,-0.0851812742437941,-0.165601622316073,3.23485440971706
0.28,-0.5,-0.166489279816622,-0.872175141522603,3.23944076192997,-0.137781563416561,-0.643201158922578,-0.16180319211344,-0.178438390269641,3.23237332662553
0.3,-0.5,-0.223669155916539,-1.06789071492539,3.22335718037859,-0.278426093822948,-0.649383795380572,-0.230944797842124,-0.191358791020697,3.22843371253837
0.32,-0.5,-0.209204908413638,0.189215306532624,3.22830371817705,0.091124746278215,-0.659497417607514,-0.291688443946604,-0.204439294157885,3.22319017907901
0.34,-0.5,-0.216100543655234,-0.385633375967059,3.22700217022972,-0.66174618943684,-0.673084751993212,-0.343480911110935,-0.217758549870843,3.21682218534927
0.36,-0.5,-0.22463024345232,-0.533148871429159,3.20183387059957,-0.606035984260189,-0.689710932326163,-0.385922146983757,-0.231383747243294,3.20951470186059
0.38,-0.5,-0.2374264985124,-1.62502053450509,3.20276073085931,0.0191954221238633,-0.709008257161918,-0.418738142375312,-0.245367946330635,3.20145274001577
0.4,-0.5,-0.289631064832523,-1.42784356093478,3.20260168748453,-0.463522391405113,-0.730499307871419,-0.441923224306128,-0.259757721789329,3.19282464223912
0.42,-0.5,-0.294540240949792,0.93045721289149,3.18421983520311,-0.756181971043479,-0.75359491686802,-0.455718138076535,-0.27459448983148,3.18382931749007
0.44,-0.5,-0.252412776316864,-0.0787977572804133,3.17235440864279,-0.606334693322153,-0.777754181071827,-0.46048550965866,-0.28990701785153,3.17465477474692
0.46,-0.5,-0.297692151241008,-2.31959418003267,3.15996644747022,-0.775347341326982,-0.802481049727221,-0.456715833560155,-0.305711340385515,3.16547424811532
0.48,-0.5,-0.34519654351817,-0.756710654026717,3.14134051498971,-0.787303103222814,-0.827330462685724,-0.445019610930065,-0.32201067844835,3.1564457132743
0.5,-0.5,-0.327960577402077,0.775789044918751,3.12847432334131,-0.0164124558416523,-0.851977351563617,-0.425991480747075,-0.338797716529916,3.147707682575
0.52,-0.5,-0.31416498172142,-1.65387170000415,3.14068401675604,0.3310546814703,-0.875838088699716,-0.400594560993991,-0.356066410894506,3.13940997511061
0.54,-0.5,-0.394115445402243,-1.64763065141513,3.14171651060012,-0.497550613284958,-0.898374579252841,-0.369847972960064,-0.373802958613271,3.13168557609839
0.56,-0.5,-0.380070207778026,0.405441435198471,3.12078199222465,-0.122969624993496,-0.91922538282005,-0.334676059217985,-0.39198293641285,3.12463965401613
0.58,-0.5,-0.377897787994304,-1.27005543344526,3.13679772560038,-0.549334550827019,-0.938205713436635,-0.295908383623887,-0.410571300675373,3.11834956060217
0.6,-0.5,-0.430872425115836,-1.11690957246652,3.09880861019156,-0.642219337022953,-0.955307439576129,-0.25427973131734,-0.42952238743846,3.11286483085539
0.62,-0.5,-0.422574170892965,-1.42124047853023,3.11110895211946,-0.0658608187261711,-0.970598350717253,-0.210497646501523,-0.448785229505568,3.10821496682791
0.64,-0.5,-0.487722044257045,-1.4994171763499,3.09617417744252,-0.380125166416634,-0.98370273506521,-0.165650333117429,-0.468327214366406,3.10444501115762
0.66,-0.5,-0.482550857946961,-0.49660237519332,3.0959039454628,-0.0263702587422587,-0.994352541456703,-0.120788213652942,-0.488107849102627,3.10157555673643
0.68,-0.5,-0.507586139264778,-0.689571250374664,3.09511936709283,0.136591935158592,-1.00247426519954,-0.0767504455108678,-0.508081273255106,3.09960401896701
0.7,-0.5,-0.510133707961947,-1.1557760746603,3.10136762286914,0.414426235396648,-1.0081700087713,-0.0341730723995899,-0.52819754037598,3.09850642322955
0.72,-0.5,-0.55381718225119,-1.77603089912387,3.11169641650869,-0.501853283788933,-1.01170640268798,0.00650060981586132,-0.548403017613519,3.09823797378641
0.74,-0.5,-0.581174943926902,-1.61947172602677,3.08129349151759,-0.821440385544858,-1.01308861293119,0.044611146303631,-0.568655019991218,3.098754444766
0.76,-0.5,-0.618596051292261,-0.837573666034341,3.0788388010869,0.659717385890557,-1.01231157705755,0.0795172819297344,-0.588912597426033,3.10000128876797
