tiempo,u,x1_med,x2_med,x3_med,x4_med,x2_true,x4_true,x1_true,x3_true
0,-0.3,-0.0127073755029134,1.03902509518225,3.15570806293677,-0.179228624990269,0,0,0,3.14159265358979
0.02,-0.3,0.00807312640073155,0.196306721038517,3.15212349043696,-0.121927889968876,-0.233592991757807,0.222585975163205,-0.00257386987490862,3.14405460665991
0.04,-0.3,-0.00485510666137271,-0.956924171366583,3.15083094733801,-0.157673689981197,-0.356700969952741,0.333613045939726,-0.00861352964829601,3.14975822418885
0.06,-0.3,-0.0302038404539318,-0.62565542061221,3.14581654283771,0.163111018967022,-0.416393308480268,0.377214956269396,-0.0164209688523097,3.15695130425609
0.08,-0.3,-0.0298813234858611,0.2509847192763,3.15735538809669,1.20048309479182,-0.440136343312838,0.379543377729031,-0.0250320479846939,3.16457390671693
0.1,-0.3,-0.0201644516828798,-1.41329525304946,3.19383586662939,0.9034529039602,-0.444354267049894,0.356643392003665,-0.0338983523120479,3.17196677651233
0.12,-0.3,-0.0864131336078396,-0.851923142626729,3.1934935042551,0.262535568585387,-0.438393898273209,0.318093876312823,-0.0427380884814586,3.17873506194576
0.14,-0.3,-0.054241377387949,1.2596695617651,3.2043372893728,0.0852831084459549,-0.427993105160914,0.270187147679989,-0.051405434754455,3.18462901027116
0.16,-0.3,-0.0360263511372355,-0.275588941690104,3.19690482859294,-0.195794750549905,-0.416337383256804,0.216887418259672,-0.0598499486042669,3.18950705447582
0.18,-0.3,-0.0652649350555531,-0.942633340902378,3.19650549935081,-0.427904623700315,-0.40544000553612,0.161084449131998,-0.068064146445377,3.19328798631982
0.2,-0.3,-0.0737316847733306,-0.703376756235168,3.17978864364493,0.659327278741406,-0.396237818248152,0.104668714297365,-0.0760793214236132,3.19594678091738
0.22,-0.3,-0.0934000053049598,0.0329490238549308,3.22287859050046,0.363937151136318,-0.389482248790069,0.0493276679420523,-0.0839310357573244,3.19748284763496
0.24,-0.3,-0.0724137238191334,-0.310941216395273,3.19434612969038,-0.130089855136628,-0.385319492645116,-0.00384232670727699,-0.0916749477339284,3.19793353417811
0.26,-0.3,-0.105837653960771,-0.709808976260632,3.217674996295,-0.23067455839717,-0.383881127574822,-0.0538211812042073,-0.0993631457569551,3.19735149478082
0.28,-0.3,-0.100806082869559,-0.570121352303783,3.18511914735449,-0.290471137589621,-0.385159789119193,-0.0997853450857786,-0.107048539548585,3.19580755317244
0.3,-0.3,-0.128642508052922,0.765658784827913,3.20605615079141,0.705889050620367,-0.388973504234223,-0.141143745702721,-0.114786101615409,3.19339050809571
0.32,-0.3,-0.0701797314764421,0.125741471732364,3.21335470937931,-0.547485310068729,-0.395162905127204,-0.17738180467572,-0.12262389166066,3.19019647476008
0.34,-0.3,-0.123612849183628,-2.6486368718856,3.18415673838866,-0.823907299397253,-0.403518407628579,-0.208128331149508,-0.130605770996026,3.18632972657104
0.36,-0.3,-0.176125206351866,-0.0788540794291666,3.18039841740342,-0.262635590899607,-0.413721360280509,-0.233194674556954,-0.138774526844953,3.18190618662524
0.38,-0.3,-0.126767012360794,1.34720482460429,3.17365131475268,-0.551343924617165,-0.42547144512028,-0.252484901895117,-0.147165268541241,3.17704145605472
0.4,-0.3,-0.122237013367695,-0.659513329284411,3.15834466041873,0.155695320632576,-0.438502325267409,-0.265986933738275,-0.155804474205245,3.17184868783648
0.42,-0.3,-0.153147545532171,-1.44886427709893,3.17987912757798,0.207289912197683,-0.452535815845033,-0.27380290488237,-0.164712425154283,3.16643760909023
0.44,-0.3,-0.180191584451652,-0.902754915130287,3.16663625690664,-0.500108209980155,-0.467214266271542,-0.276187458893825,-0.173907176003466,3.16092346370154
0.46,-0.3,-0.189257742137382,0.152905126722295,3.15987479917878,-0.913605181464994,-0.482206056927699,-0.273460707882701,-0.183400033513168,3.15541733162685
0.48,-0.3,-0.17407537938276,-0.263271090463372,3.13009204964804,-0.786142842843884,-0.497215681828942,-0.26599794088588,-0.193195260354427,3.15001857263385
0.5,-0.3,-0.199788585755917,-1.18958912877212,3.12842908546502,0.289660513009171,-0.511983745810597,-0.254229625637277,-0.203290075265398,3.14481482572786
0.52,-0.3,-0.221658944533645,-0.649286861674882,3.1416784701684,0.0395337395711626,-0.526289137555633,-0.238637069034983,-0.213674724832657,3.13988189384008
0.54,-0.3,-0.225760060222912,-0.421298017625717,3.13001043504787,0.0277992364138058,-0.539956427327186,-0.219681681152057,-0.224336407142409,3.13528603693158
0.56,-0.3,-0.238510865238674,-0.556651011130466,3.14279043962496,0.0674167714108775,-0.552714398855011,-0.197988819185299,-0.235261084486903,3.13109510378363
0.58,-0.3,-0.248026100668131,-0.164678800422502,3.1327071059043,-0.3796841139875,-0.564328348944094,-0.174194283559353,-0.246430574252931,3.1273647538096
0.6,-0.3,-0.245098017255574,-0.221308603071749,3.12760307506546,-0.551737740089564,-0.574646380679014,-0.148873084426948,-0.257822683265754,3.12413484798248
0.62,-0.3,-0.256878444791001,-0.53990221855369,3.11063759630072,-0.293455010085664,-0.583599403423943,-0.122539441668896,-0.269411207789095,3.12142944883494
0.64,-0.3,-0.266694105997721,-1.44716470060608,3.11586487466203,0.529752638902992,-0.591201132822646,-0.0956467848940929,-0.281165933525145,3.11925682045931
0.66,-0.3,-0.314765032815244,-1.06299683674711,3.13182770185684,0.242325487856343,-0.597489876510724,-0.0686304515462775,-0.293055461524727,3.11761474539074
0.68,-0.3,-0.309213979467605,-0.00626669186762768,3.12555789417628,-0.700906695858727,-0.602331132265503,-0.042075003781403,-0.305055329312933,3.11650689653276
0.7,-0.3,-0.315015700489949,-1.15023830800768,3.10379143402249,0.408026533097761,-0.605680599378902,-0.0164924286292122,-0.317137031904287,3.1159214244967
0.72,-0.3,-0.355223511787913,-0.927911075184249,3.14187895550019,0.550457530889814,-0.607562075717616,0.00770545261331673,-0.329271880041078,3.11583651504828
0.74,-0.3,-0.352132143497319,-1.00106786071118,3.12580973525808,-0.0373105572920696,-0.608059405424316,0.0302023173906232,-0.341431470248596,3.11622122250261
0.76,-0.3,-0.39526622621636,0.785334080757144,3.14038653320851,0.317653150688968,-0.607312025240987,0.050772824326713,-0.353587823752527,3.11703576593272
0.78,-0.3,-0.320718780267033,-0.520672561407774,3.13851586128564,-0.348972151263349,-0.605389300401585,0.0691495815709379,-0.36571694224125,3.11823934440321
0.8,-0.3,-0.416093128672671,-1.88573709209052,3.12642764715798,-0.543523207419527,-0.602369077396943,0.0851017107053827,-0.377796301906216,3.11978603027974
0.82,-0.3,-0.396148263950654,1.02192882311476,3.11677493298886,-0.830097930537954,-0.598373560088887,0.098492007013687,-0.389805114208648,3.12162595267527
0.84,-0.3,-0.37521597574808,-0.701215363614721,3.09322372993646,0.298560159334893,-0.59354024785214,0.109250256511476,-0.401725417096141,3.12370763920066
0.86,-0.3,-0.424196878495243,-1.52015958158742,3.12871733936226,0.390635349509805,-0.588018022365274,0.117367890446117,-0.413542118114886,3.12597928348735
0.88,-0.3,-0.436022359011577,-0.275840817974791,3.10884914391685,0.377205444738005,-0.58194526941349,0.122860841299386,-0.425242750466586,3.12838803908142
0.9,-0.3,-0.435230511214235,-0.3831611924088,3.14380555715178,0.243827797509766,-0.575457998779076,0.125781154067412,-0.436817433970774,3.13087936120134
0.92,-0.3,-0.451348806707929,-0.483267316004563,3.11860225581724,-0.407168964748306,-0.568695824600158,0.126231301684029,-0.448259228511322,3.13340244705757
