tiempo,u,x1_med,x2_med,x3_med,x4_med,x2_true,x4_true,x1_true,x3_true
0,-0.1,0.00474175229342448,-0.538639937435966,3.13972512381297,0.672086697980467,0,0,0,3.14159265358979
0.02,-0.1,-0.00603104645529483,-0.107745783341426,3.15316685777257,-0.0201974329214982,-0.0778675763930238,0.0741982454411488,-0.000857865715927934,3.14241322062604
0.04,-0.1,0.00043192095976746,-0.376658064345913,3.13891722649611,-1.0501860304768,-0.118908379240749,0.111210199232379,-0.00287134272358879,3.14431465165217
0.06,-0.1,-0.0210973690291314,0.85544236355614,3.1111594165535,0.546112320018721,-0.13883254846529,0.125762424314407,-0.00547416643400783,3.14671257772713
0.08,-0.1,0.0346496155020131,0.327181283659048,3.16076171929685,1.71806607437502,-0.146777570438099,0.126552095335168,-0.00834549934251956,3.14925405224959
0.1,-0.1,-0.00801011768276944,-1.66508774635157,3.1798820595285,-0.20827659889896,-0.148201821605713,0.11891105514717,-0.0113025412845855,3.15171913926648
0.12,-0.1,-0.0319538943520497,0.545227155037767,3.1524306553409,-0.411529319005011,-0.146218382717406,0.106030388573814,-0.0142507551898342,3.15397547254293
0.14,-0.1,0.0137989685187412,0.527071507464375,3.1634208867683,-0.0839069423662298,-0.142727386542996,0.0899984540619033,-0.0171415129493328,3.15593961114146
0.16,-0.1,-0.0108710340534747,-0.868374472519999,3.14907437764625,0.290455526389166,-0.138807075524021,0.0721549424632903,-0.0199571787523776,3.15756350773112
0.18,-0.1,-0.0209360103820587,-0.586654705246341,3.17503910782387,-0.304757962218649,-0.135127058170079,0.0534656222017367,-0.0226953991928696,3.15882017777367
0.2,-0.1,-0.0343372222633283,0.741804497626417,3.1368840591575,-0.554047273919001,-0.132015447545683,0.0345784838640096,-0.0253662538580552,3.15970100060819
0.22,-0.1,0.00873616952299796,-0.211265164589503,3.15287721686711,0.624057313663129,-0.129727442005627,0.0160636256863801,-0.0279818161301319,3.16020607405271
0.24,-0.1,-0.0427878288469085,-1.24403519745628,3.16184635170403,0.282114910952225,-0.128314414531776,-0.00170891106086307,-0.030560919431338,3.16034826362114
0.26,-0.1,-0.0410252383752533,0.485351452387382,3.1641618133052,-0.46358238647467,-0.127827992150312,-0.0183906887646882,-0.0331209797330292,3.16014535983404
0.28,-0.1,-0.0233737707514132,0.107250409035747,3.14330305624504,0.0519874451889391,-0.128259074569361,-0.0337122591236134,-0.0356801851419117,3.15962169971132
0.3,-0.1,-0.0367352220138234,-0.630488964817756,3.16624131111276,0.0326471689259478,-0.129547286519687,-0.0474766798385367,-0.0382570060714655,3.15880722036102
0.32,-0.1,-0.0485933293441234,-0.0643405815324993,3.14460894300208,-0.521260479290575,-0.131638055333496,-0.0595147676264858,-0.040867574409504,3.15773424174938
0.34,-0.1,-0.0393088452751234,1.23810096288555,3.14539089194113,0.0932186485991249,-0.134452628508165,-0.0697112436959949,-0.0435268903411489,3.15643815580685
0.36,-0.1,0.000930709171298567,-0.517687977589156,3.14833768894604,0.0712936099979689,-0.137884694868248,-0.0780043951962809,-0.0462491681560409,3.15495771031258
0.38,-0.1,-0.0600163643786896,-0.792044421861808,3.14824263634105,-0.0755568702305198,-0.141834580678753,-0.0843636988038468,-0.0490459772843859,3.15333137864179
0.4,-0.1,-0.0307510677031738,-0.815516864200878,3.14531541413682,-0.600733848593804,-0.146211300893585,-0.0887889969568882,-0.0519260972940488,3.15159694466618
0.42,-0.1,-0.0926370389467248,-0.993006376314479,3.1242132823973,0.0641650779133029,-0.150918876824154,-0.0913180761765203,-0.0548963470724525,3.14979086136722
0.44,-0.1,-0.0704713227557529,0.938705842699435,3.14788201725335,0.585218464094062,-0.155837544746484,-0.0920365176093767,-0.057962759132002,3.14795220723868
0.46,-0.1,-0.0550888052387473,0.0691274181481113,3.14762202096106,-0.306795559690176,-0.160855594424909,-0.0910521777469857,-0.0611291555561434,3.14611807480363
0.48,-0.1,-0.0677062260298285,-0.807243839473468,3.13561019486575,0.813398503634899,-0.165874969224583,-0.0884903468767082,-0.0643969201884632,3.1443215406828
0.5,-0.1,-0.0873785588176861,0.249133734113602,3.18015796110646,0.293033954261568,-0.170811266111482,-0.084493749081738,-0.0677649986326881,3.14259166559464
0.52,-0.1,-0.0577408766652844,0.916836333093908,3.14733155303621,-0.882112663727297,-0.175593719834057,-0.0792222263912552,-0.0712299201358539,3.14095349322266
0.54,-0.1,-0.0507051054939297,-0.614910960246224,3.14487345455737,0.459434379998802,-0.180153879259276,-0.0728407380151151,-0.0747876643307051,3.13942936962594
0.56,-0.1,-0.0823373150751334,-0.79014952445439,3.16570892823616,-0.464890066280643,-0.184408133966274,-0.0655503869991357,-0.0784333490867748,3.1380415056558
0.58,-0.1,-0.0823110864721054,0.0174087931706351,3.12627785190614,-0.80785995389081,-0.188286978620697,-0.0575569076943532,-0.082160436450146,3.13680799388826
