tiempo,u,x1_med,x2_med,x3_med,x4_med,x2_true,x4_true,x1_true,x3_true
0,-5,-0.0102919106604716,-1.53237172106072,3.10218860576552,4.62697193409554,0,0,0,3.14159265358979
0.02,-5,-0.040939345081686,-2.48304092059118,3.19472804444743,4.90771473302441,-3.88218395509124,3.70074987334916,-0.0428560938163786,3.18259093643708
0.04,-5,-0.109613547484119,-6.03907897633168,3.29849719508649,4.26708078800649,-5.79483234184374,5.44575461701848,-0.142232336526628,3.27664746924911
0.06,-5,-0.282502504134953,-7.23353895814085,3.36541127596769,6.15830223505446,-6.47521596028477,5.97418595081062,-0.266409166682223,3.39230167231606
0.08,-5,-0.398955105809753,-5.91161776379982,3.54482928448867,5.77991378518959,-6.55081066708256,5.90492236411989,-0.397284925863319,3.51170943130519
0.1,-5,-0.518967214686946,-6.73548294004991,3.59660782737527,4.44221648170555,-6.41875954585211,5.60790761627194,-0.527121396301051,3.62704026048545
0.12,-5,-0.668374423411749,-6.95605084895253,3.72251794375689,5.21757478457862,-6.25707356118406,5.23650417939498,-0.65386887981035,3.73555664938877
0.14,-5,-0.797209248645047,-6.44755069617207,3.80531081875841,5.15546434899049,-6.12989160760271,4.83889283727353,-0.777652832514393,3.83633863506848
0.16,-5,-0.926276451258632,-5.15415664194951,3.92873651771651,4.46610119718028,-6.05547326902065,4.42621759060479,-0.899418670297895,3.92901450657356
0.18,-5,-1.00337551432303,-5.19784169929842,3.98395486664563,4.30571299918606,-6.03651737860105,3.99938452410158,-1.02025296472914,4.01329934411062
0.2,-5,-1.13419011923057,-6.4853022356554,4.10096503768396,4.2055495812845,-6.06854154944132,3.55635042894044,-1.1412492354845,4.08890511503674
0.22,-5,-1.26278760374924,-5.86177478781339,4.15217684989701,2.46990301603052,-6.14519606325855,3.09594893590262,-1.26333991934687,4.15546063606975
0.24,-5,-1.3686611107431,-5.38253465948839,4.19976115832518,2.51517257389664,-6.25923841053871,2.6183426885607,-1.38732264332222,4.21261745574272
0.26,-5,-1.47808899012878,-7.19700713125024,4.25278375285287,2.60969148224919,-6.40269079789633,2.12516404302594,-1.51386938253799,4.26006422465341
0.28,-5,-1.65654139599311,-7.57907572341064,4.30414881761514,2.00154046622159,-6.56687334593493,1.61949276269881,-1.64352521203491,4.2975290695881
0.3,-5,-1.78125201906521,-6.85698013754294,4.33284537150173,1.17440894971279,-6.74361147932799,1.10579897219315,-1.776636451931,4.32481572616385
0.32,-5,-1.93082060149483,-6.98467707760185,4.35112517560365,0.463141036991699,-6.92597436107851,0.590699814601632,-1.91333700105506,4.34179221506492
0.34,-5,-2.06063910216928,-6.01797761848078,4.3513710129814,0.0494619654616058,-7.10811545812195,0.0817735453167017,-2.05367067713537,4.34848910325631
0.36,-5,-2.17153970623406,-7.09138650931634,4.35310365422212,-0.265229637188802,-7.28538516575854,-0.412742121531949,-2.19760088056942,4.34512458683365
0.38,-5,-2.34429456254193,-7.81464353973644,4.34076182749385,-1.24105709128794,-7.4543698592486,-0.883977750728678,-2.34500975877898,4.3321030216141
0.4,-5,-2.48412544782352,-7.62797562359851,4.3034613705706,-1.85208317999446,-7.61442276278322,-1.32249072967927,-2.49570433190322,4.3099838841394
0.42,-5,-2.64941358748587,-7.2863969821676,4.26667850029407,-1.47668555719507,-7.76768309502998,-1.71778765324732,-2.64952457635968,4.27951333623955
0.44,-5,-2.77558132711022,-8.35910534849338,4.2443939482828,-1.63077189681529,-7.91715777855139,-2.06004614351734,-2.80637533664919,4.24164018638661
0.46,-5,-2.98377780142561,-9.61155953627506,4.20144762442146,-1.70381715094587,-8.0666535059384,-2.34046309286681,-2.96622148735086,4.19751010347818
0.48,-5,-3.16004370856123,-7.96093235677601,4.17624126224496,-2.2326731958539,-8.22079011917223,-2.55131610637486,-3.12908131040951,4.14845658917625
0.5,-5,-3.30221509569665,-7.89366557382177,4.11214069658731,-3.00493655769012,-8.38431916204082,-2.68639927182898,-3.29503128276401,4.09590658730547
0.52,-5,-3.4757903315141,-8.7000508333355,4.05604379993736,-3.11530568517938,-8.55927044227861,-2.74091867212822,-3.46440019475591,4.0415018441828
0.54,-5,-3.65021712903007,-8.25039684862018,3.98752846918013,-2.95742521562978,-8.74498842437626,-2.71471091352305,-3.63745968849118,3.986852948004
0.56,-5,-3.8058062054589,-9.67036214051747,3.93774679131217,-2.06587479949772,-8.9383117496549,-2.6128375536511,-3.81435631481259,3.93347362246921
0.58,-5,-4.03703161465077,-9.33594061028904,3.90489347720022,-2.47582969934305,-9.13354554312422,-2.44558869183715,-3.99511365213336,3.88278095663975
0.6,-5,-4.17924382987047,-8.02183417923821,3.83871360333845,-2.31476507320457,-9.31993732975479,-2.22844072715157,-4.17978515884083,3.83602293030098
0.62,-5,-4.3579049818203,-8.94401659823854,3.81230287427204,-1.81134791912813,-9.48787127820988,-1.97838105922393,-4.3680231040036,3.79396641025108
0.64,-5,-4.53700449380001,-10.040038307914,3.76625968657332,-2.02964242609188,-9.63053415645474,-1.71154136110864,-4.55926099867315,3.75705168410421
0.66,-5,-4.75950651413686,-10.5361521432225,3.73111717722836,-1.85733662900861,-9.74177053786415,-1.44334983153978,-4.7529285251422,3.72546289856279
0.68,-5,-4.95845057952891,-9.6232667106906,3.69196622141298,-1.37284609637583,-9.81608280122243,-1.18853119493114,-4.94845153694468,3.69912805941755
0.7,-5,-5.14443718256448,-9.31806464273928,3.67620333337333,-1.40678208263381,-9.85210728215872,-0.957908921697691,-5.14513541461637,3.67768193929375
0.72,-5,-5.33117316523848,-9.73092781987417,3.63569493810762,-1.0773675536871,-9.85852817626177,-0.750269584901881,-5.34218820772769,3.66059442921949
0.74,-5,-5.53367429535945,-10.1242118305314,3.63310863122585,-0.0087754449212829,-9.83997857883558,-0.565276316807889,-5.53919329230677,3.64746434087315
0.76,-5,-5.73614163845973,-10.0077105984396,3.63534392031077,-1.25379666623872,-9.80203336383143,-0.401424362134319,-5.73572923243864,3.6378694312045
0.78,-5,-5.93398271929703,-9.76432892510859,3.5829567645763,-0.429973001883022,-9.75161111303016,-0.255733885762421,-5.93135108734922,3.63135898156159
0.8,-5,-6.12671479546408,-9.70582449863671,3.61814500023545,1.49144858574938,-9.69425330146684,-0.124804097345965,-6.12579330817057,3.62756321365252
0.82,-5,-6.3222156992425,-9.37995169359629,3.64261470800627,-0.309864041110708,-9.63207331125706,-0.00645200379065719,-6.31904762640514,3.62626307005473
0.84,-5,-6.50191286320793,-9.23448104762745,3.60575043859102,-0.487237760289994,-9.56731107859971,0.101226200376596,-6.5110660655621,3.62723811167639
0.86,-5,-6.6915949411476,-9.28343671741778,3.62312519759467,0.491799667963844,-9.50220559089538,0.199885258404995,-6.70177944754136,3.63027209695801
0.88,-5,-6.87325033190464,-10.2415645008564,3.62542242530958,0.818585145770201,-9.43801003034186,0.290626244810617,-6.89117710083794,3.63518858424956
0.9,-5,-7.10125752118186,-10.234418514381,3.65586860342548,0.639178946095265,-9.37500422133635,0.37397443097816,-7.07930509611245,3.64184680761398
0.92,-5,-7.28262707247988,-9.27315339088983,3.65098958315339,0.21876925446821,-9.31353321121371,0.450262745403856,-7.26619041134153,3.6501019182133
0.94,-5,-7.47218365681745,-8.28961281440488,3.66461937360421,0.751841674547737,-9.25384604851188,0.519605813852937,-7.45185674658087,3.65981131844601
0.96,-5,-7.61421158505608,-9.02655063087721,3.6810632501353,0.746801644853512,-9.19593520975668,0.58192155516256,-7.63634383764211,3.67083719506925
0.98,-5,-7.83324568205254,-9.68621433976102,3.69449143939835,0.620154172941556,-9.13974943227214,0.637049626134541,-7.81969586950301,3.68303908010859
1,-5,-8.00166015864652,-8.51705177434847,3.70586941705296,1.0481731441783,-9.08534177623079,0.684791260434897,-8.00195000343736,3.69627110163008
1.02,-5,-8.17392775302648,-8.87125085025899,3.73641836516548,-0.15422595364567,-9.03287016937216,0.724909376879415,-8.18313633403682,3.71038198026166
1.04,-5,-8.35651019265688,-9.14676467663327,3.69970037890713,-0.140101845744123,-8.9825487331712,0.757125766055841,-8.36328118064045,3.72521911350046
1.06,-5,-8.53979834009181,-9.18042771095764,3.73081429133572,1.25097342712903,-8.93452875691055,0.781287328330456,-8.54243390251958,3.74062422993555
1.08,-5,-8.72372730109518,-8.8966239135726,3.74973931599229,1.25015739937374,-8.88901126095489,0.79737860936451,-8.72065549539963,3.75642895261203
1.1,-5,-8.89566329663471,-8.50146146400368,3.78082058731067,1.34048057399276,-8.84622916461646,0.805402839963037,-8.89800475582136,3.77246885677387
1.12,-5,-9.06378575965533,-9.28348977525744,3.803358538952,-0.00513843061600294,-8.80644587279355,0.805380266668978,-9.07453818586526,3.78858374313536
1.14,-5,-9.26700288764501,-8.08383271904645,3.78061505008603,0.354664139949412,-8.76995527597058,0.797348151763185,-9.25030999315155,3.80461763788114
1.16,-5,-9.38713906841719,-7.84731710006343,3.81754510454998,1.02097009587372,-8.73706900944227,0.781381399365555,-9.42537386238243,3.82041939373253
1.18,-5,-9.58089557164755,-9.61589354994703,3.82145385392097,0.915024271384024,-8.70802754033905,0.75785918828651,-9.599807088608,3.83583566261132
1.2,-5,-9.77177481041507,-9.91242853207162,3.85414607540534,1.18434057613107,-8.68303597045251,0.727368088637661,-9.77370230320629,3.85070904298565
1.22,-5,-9.97739271293041,-8.56847522019,3.86882747696622,0.147609236660873,-8.66223567286965,0.690500489008977,-9.947148041117,3.8648989410692
1.24,-5,-10.1145138192227,-7.7204294797065,3.86005044487178,1.10979076731839,-8.6456970581097,0.647851688212167,-10.1202283590719,3.87828312272956
1.26,-5,-10.2862098921187,-8.23458383281683,3.91321910765895,1.10148191784282,-8.63341957412414,0.600019895280684,-10.293022835595,3.8907577134882
1.28,-5,-10.4438971725353,-8.50861614482499,3.90410972158549,0.31733723930224,-8.62533470326316,0.54760948676754,-10.4656066258702,3.90223687530945
1.3,-5,-10.6265545379117,-9.89492359834396,3.92591259723104,0.120028461410304,-8.62138241240856,0.491422974472662,-10.6380594520186,3.91263928295993
1.32,-5,-10.8396941164691,-8.37867806797643,3.9089108600419,-0.177781775786534,-8.62144191690694,0.432508130477072,-10.8104732122356,3.92189074577615
1.34,-5,-10.9617016606307,-8.00857940859907,3.91880132619958,1.21432728080528,-8.62532131034241,0.371866156239618,-10.9829326658802,3.92994030073763
1.36,-5,-11.1600372928131,-9.72133782549816,3.95748395127411,-0.0506860436320866,-8.63278003552233,0.310432388345886,-11.1555128354604,3.93676002994492
1.38,-5,-11.3505551736507,-8.63185506921473,3.9167738844543,0.078812113806781,-8.64352888447741,0.249076298508206,-11.3282790066337,3.94234506061963
1.4,-5,-11.5053114955817,-8.40707595310239,3.96063643582638,0.402159635402854,-8.65722999866983,0.188601493668785,-11.5012867282083,3.94671356507368
1.42,-5,-11.6868382117747,-8.95564793574759,3.93286026987041,-0.831080125135564,-8.67357861412754,0.129834944526539,-11.6745864975325,3.94989333905813
1.44,-5,-11.8635374130116,-8.4486558520922,3.92739323082096,0.192346117293862,-8.6922584973939,0.0737148764839587,-11.848234900393,3.95192372096053
1.46,-5,-12.0247844458584,-8.92194282071497,3.94055411456217,0.446212866385365,-8.71288797772031,0.0210559872951382,-12.0222807187615,3.95286663041201
1.48,-5,-12.2204151258402,-8.89972861331412,3.94524174547638,-0.0195120640647861,-8.73509754551565,-0.0274693841082305,-12.1967612646336,3.95279633572897
1.5,-5,-12.380773590391,-8.64030282292809,3.93977363199957,0.663823831840926,-8.75852985234626,-0.071331257616859,-12.3717023800289,3.9517994539132
1.52,-5,-12.5660272387573,-8.78755663403674,3.97179469875001,0.16819510906082,-8.78283980412991,-0.110141547025337,-12.547118484254,3.94997487317442
1.54,-5,-12.7322758557525,-8.59386235830706,3.94650143636201,-1.02057394989729,-8.80768463523879,-0.143579555219383,-12.7230215146586,3.94742526165719
1.56,-5,-12.9097817330896,-8.61036503576904,3.93097174075412,-0.192885439710044,-8.83267343282465,-0.171408082408382,-12.8994230307124,3.94426332070583
1.58,-5,-13.0766904571832,-8.57769052192356,3.93878601877361,0.394186306613509,-8.8574323250071,-0.193544816537247,-13.0763243422286,3.94060516189145
1.6,-5,-13.2528893539665,-9.65972864678371,3.94673919301866,-1.29408561497757,-8.88162727515311,-0.210039787101163,-13.2537180059882,3.93656295340091
1.62,-5,-13.4630796030546,-8.89744217841617,3.8870225941745,-1.26659591212758,-8.904964081877,-0.221075365145587,-13.43158782574,3.93224492003684
1.64,-5,-13.6087870411032,-7.86043703622394,3.89607535653356,0.811242065446671,-8.9271806604662,-0.226933015946161,-13.609912094368,3.92775254089326
1.66,-5,-13.7774970845035,-8.81392802569101,3.91947227679237,0.350393076769484,-8.94799626974725,-0.227958459953736,-13.7886672489019,3.9231864921775
1.68,-5,-13.9613441621308,-8.76212291552689,3.91009107960434,0.289669637728451,-8.96715369067915,-0.224602134044681,-13.9678213499495,3.91864744798169
1.7,-5,-14.1279820011246,-9.30024195466972,3.93105906230151,0.0549988162001136,-8.98445135162449,-0.217347608924151,-14.1473395220948,3.91422211399448
1.72,-5,-14.3333538403176,-9.77980684406523,3.91229103225234,0.116195142259168,-8.99974351917055,-0.206709614721495,-14.3271841305607,3.90998294721844
1.74,-5,-14.5191742748872,-8.52075269353207,3.93570686799187,-0.00341898279663244,-9.0129402981293,-0.193234040990261,-14.5073147812089,3.90598815597008
1.76,-5,-14.6741839480589,-8.74637454638214,3.91215427294048,-0.835531492477137,-9.02400734067338,-0.177497327353096,-14.6876883639339,3.90228174621073
1.78,-5,-14.8690292567425,-9.01382842421889,3.90228560829279,-0.952171655564116,-9.03292478265609,-0.16001217682544,-14.8682645071585,3.8989027599742
1.8,-5,-15.0347370850276,-9.19882647776364,3.87406740671791,-0.417961249997278,-9.03972555894665,-0.141282295285706,-15.0489989879689,3.89588523554911
1.82,-5,-15.2369823158531,-9.42443992641464,3.8855671582929,0.598070440842846,-9.0444947148694,-0.121813291051727,-15.2298467104941,3.89325074644047
1.84,-5,-15.4117146820842,-8.58052769313247,3.89799022435163,-0.445774754991568,-9.04733846470776,-0.102052424669499,-15.4107669213611,3.89101140673526
1.86,-5,-15.5802034235784,-9.53711798160444,3.86773616809324,-0.135996732302468,-9.04838419170424,-0.0823886089131798,-15.5917232096943,3.88916987110237
1.88,-5,-15.7931994013484,-8.90465285166129,3.89255035505953,0.388395870894109,-9.04778044806043,-0.063152408785089,-15.7726835071158,3.88771933479268
1.9,-5,-15.9363895376448,-8.56494270683044,3.883272002929,-0.241746085872885,-9.04569777076336,-0.0446194533192414,-15.9536196111479,3.88664421955336
1.92,-5,-16.1357971096216,-9.54378333269417,3.88288051162461,0.0419597078222589,-9.04233159799318,-0.0270522486994995,-16.1345018805814,3.88592930576976
1.94,-4.90267766215165,-16.3181408709526,-7.96413530984816,3.88495039124189,-0.02569273502534,-9.0292122826097,-0.0169882342376477,-16.3152746905243,3.88553131213608
1.96,-4.31710173848298,-16.4543625220155,-8.86203794136708,3.8818528022236,-0.121139653593694,-8.89868079881855,-0.0971661462252436,-16.4949104919176,3.88466907149543
1.98,-2.79630729117944,-16.6726223886073,-8.90926897604123,3.88010480509814,-0.0160160093914397,-8.40607674969285,-0.468704603858215,-16.6688321681369,3.87972946284936
2,-0.375856242306855,-16.8107332810572,-8.46237156764289,3.88121216184794,-1.78874055758871,-7.23373964195417,-1.41806340311059,-16.8265031380249,3.86197913479934
2.02,1.98612057269281,-17.011117251313,-5.61911952897152,3.80855518279459,-4.05293745260872,-5.26467951298593,-3.11040846528635,-16.9525221931134,3.81771437940118
2.04,3.39929892456634,-17.035498062216,-0.671323405567659,3.71909466374359,-5.33413314490366,-2.63338359466092,-5.50000053403663,-17.032724308603,3.73292117102329
2.06,3.91741083134688,-17.0379701875357,0.368422343615116,3.59518985699845,-8.19137807632294,0.546897114556463,-8.49845098761614,-17.0544913010157,3.59392300172965
2.08,4,-17.0207611684714,3.0781262825669,3.39143954069068,-11.1609388473528,4.00365641032008,-11.7824235654126,-17.0087267080869,3.39083074476487
2.1,4,-16.914845136233,5.34894323816699,3.14875230310433,-13.3015869852241,5.97939290384675,-13.5887765060048,-16.9039870303594,3.13225682773147
2.12,4,-16.8068034389448,4.94957563463556,2.85937606128171,-13.4172478512863,5.09749931924976,-12.5655742492344,-16.7902256826571,2.86772816660889
2.14,4,-16.7168621108476,4.17545896332223,2.61206238905288,-10.5503948735884,3.74977853877607,-11.0168090614016,-16.7024120884132,2.6323672891743
2.16,4,-16.6397850804119,3.86930534847796,2.43736026633817,-9.31614961533492,2.88471185155254,-9.80270668552284,-16.6368551724382,2.42468209195983
2.18,4,-16.5620898969085,2.90150384405354,2.23941640443949,-8.6159705125377,2.41337456166591,-8.81366604437178,-16.5843809267246,2.23876664423181
2.2,4,-16.5237249266497,1.89270749914741,2.09272144583667,-8.36977506733361,2.21105213907138,-7.92827194105012,-16.5385319878133,2.07145702470605
2.22,4,-16.4863815969426,1.38413136967541,1.90462540174614,-8.28793763867932,2.20171342594657,-7.0792392617434,-16.4946793413485,1.92140484151992
2.24,4,-16.4683596718627,2.19422304479853,1.76120394028949,-5.84034519481741,2.3431590551826,-6.23136370374612,-16.4494523086936,1.78828479330346
2.26,4,-16.3986126751506,2.87961181389331,1.67101159395345,-5.00755559089287,2.60558925023603,-5.36379073607728,-16.400157767743,1.67228511131772
2.28,4,-16.353175199307,3.45892335009541,1.56090171665378,-4.46879133741245,2.96362040683384,-4.4648780622295,-16.3445837161201,1.57392188044571
2.3,4,-16.2602557411468,2.68458840039818,1.49225994045695,-2.90177725503995,3.39075011677719,-3.5299928833958,-16.2810999303119,1.49391364785905
2.32,4,-16.245791663291,3.08215797512572,1.44483062645218,-2.52900286653557,3.85765729734807,-2.56093693780584,-16.2086615563973,1.43297176517038
2.34,4,-16.1369694221418,4.64652151141118,1.39109982579553,-1.47194862311249,4.33220082059098,-1.56543596706787,-16.1267875510816,1.39167331134962
